phecode	phenotype	category
603.2	Spermatocele	genitourinary
604	Disorders of penis	genitourinary
604.1	Redundant prepuce and phimosis/BXO	genitourinary
604.2	Vascular disorders of penis	genitourinary
604.3	Peyronie's disease	genitourinary
605	Erectile dysfunction [ED]	genitourinary
608	Other disorders of male genital organs	genitourinary
609	Male infertility and abnormal spermatozoa	genitourinary
609.1	"Infertility, male"	genitourinary
609.11	Azoospermia and oligospermia	genitourinary
609.2	Abnormal spermatozoa	genitourinary
610	Benign mammary dysplasias	genitourinary
610.1	Cystic mastopathy	genitourinary
610.2	Fibroadenosis of breast	genitourinary
610.3	Fibrosclerosis of breast	genitourinary
610.4	Benign neoplasm of breast	genitourinary
610.8	Other specified benign mammary dysplasias	genitourinary
611	Abnormal findings on mammogram or breast exam	genitourinary
611.1	Abnormal mammogram	genitourinary
611.11	Mammographic microcalcification	genitourinary
611.3	Lump or mass in breast	genitourinary
612	"Breast conditions, congenital or relating to hormones"	genitourinary
612.1	Galactorrhea	genitourinary
612.2	Hypertrophy of breast (Gynecomastia)	genitourinary
612.3	Congenital anomalies of breast	genitourinary
613	Other nonmalignant breast conditions	genitourinary
613.1	Inflammatory disease of breast	genitourinary
613.5	Mastodynia	genitourinary
613.7	Other signs and symptoms in breast	genitourinary
613.8	Other specified disorders of breast	genitourinary
613.9	Breast disorder NOS	genitourinary
614	Inflammatory diseases of female pelvic organs	genitourinary
614.1	"Pelvic peritoneal adhesions, female (postoperative) (postinfection)"	genitourinary
614.3	Pelvic inflammatory disease (PID)	genitourinary
614.31	Acute inflammatory pelvic disease	genitourinary
614.32	Chronic inflammatory pelvic disease	genitourinary
614.33	"Pelvic inflammatory disease, NOS"	genitourinary
614.4	"Inflammatory diseases of uterus, except cervix"	genitourinary
614.5	"Inflammatory disease of cervix, vagina, and vulva"	genitourinary
614.51	Cervicitis and endocervicitis	genitourinary
614.52	Vaginitis and vulvovaginitis	genitourinary
614.53	Cyst or abscess of Bartholin's gland	genitourinary
614.54	Abscess or ulceration of vulva	genitourinary
615	Endometriosis	genitourinary
617	"Disorders secondary to childbirth, surgery, trauma"	genitourinary
618	Genital prolapse	genitourinary
618.1	Prolapse of vaginal walls	genitourinary
618.2	Uterine/Uterovaginal prolapse	genitourinary
618.5	Prolapse of vaginal vault after hysterectomy	genitourinary
618.6	"Vaginal enterocele, congenital or acquired"	genitourinary
619	Noninflammatory female genital disorders	genitourinary
619.1	"Noninflammatory disorders of ovary, fallopian tube, and broad ligament"	genitourinary
619.2	"Disorders of uterus, NEC"	genitourinary
619.3	Noninflammatory disorders of cervix	genitourinary
619.4	Noninflammatory disorders of vagina	genitourinary
619.5	Noninflammatory disorders of vulva and perineum	genitourinary
620	Dysplasia of female genital organs	genitourinary
620.1	Dysplasia of cervix	genitourinary
621	Endometrial hyperplasia	genitourinary
622	Polyp of female genital organs	genitourinary
622.1	Polyp of corpus uteri	genitourinary
622.2	Mucous polyp of cervix	genitourinary
623	Hypertrophy of female genital organs	genitourinary
624	Symptoms involving female genital tract	genitourinary
624.1	Dystrophy of female genital tract	genitourinary
624.2	Atrophy of female genital tract	genitourinary
624.9	"stress incontinence, female"	genitourinary
625	Pain and other symptoms associated with female genital organs	genitourinary
625.1	Dyspareunia	genitourinary
626	Disorders of menstruation and other abnormal bleeding from female genital tract	genitourinary
626.1	Irregular menstrual cycle/bleeding	genitourinary
626.11	Absent or infrequent menstruation	genitourinary
626.12	Excessive or frequent menstruation	genitourinary
626.13	Irregular menstrual cycle	genitourinary
626.14	Irregular menstrual bleeding	genitourinary
626.15	"Infertility, female, associated with anovulation"	genitourinary
626.2	Dysmenorrhea	genitourinary
626.21	Mittelschmerz	genitourinary
626.4	Premenstrual tension syndromes	genitourinary
626.8	"Infertility, female"	genitourinary
627	Menopausal and postmenopausal disorders	genitourinary
627.1	Postmenopausal bleeding	genitourinary
627.2	Symptomatic menopause	genitourinary
627.21	Symptomatic artificial menopause	genitourinary
627.22	Need for Hormone replacement therapy (postmenopausal)	genitourinary
627.3	Postmenopausal atrophic vaginitis	genitourinary
627.4	Premenopausal menorrhagia	genitourinary
627.5	Premature menopause and other ovarian failure	genitourinary
628	Ovarian cyst	genitourinary
634	Miscarriage; stillbirth	pregnancy complications
634.1	Missed abortion/Hydatidiform mole	pregnancy complications
634.3	Ectopic pregnancy	pregnancy complications
635	Hemorrhage during pregnancy; childbirth and postpartum	pregnancy complications
635.2	"Antepartum hemorrhage, abruptio placentae, and placenta previa"	pregnancy complications
635.3	Placenta previa and abruptio placenta	pregnancy complications
636	Early or threatened labor; hemorrhage in early pregnancy	pregnancy complications
636.1	Threatened premature labor	pregnancy complications
636.2	Early onset of delivery	pregnancy complications
636.3	Hemorrhage in early pregnancy	pregnancy complications
636.8	Cervical incompetence	pregnancy complications
637	Short gestation; low birth weight; and fetal growth retardation	pregnancy complications
638	Other high-risk pregnancy	pregnancy complications
639	Complications following abortion or ectopic and molar pregnancies	pregnancy complications
642	"Hypertension complicating pregnancy, childbirth, and the puerperium"	pregnancy complications
642.1	Preeclampsia and eclampsia	pregnancy complications
643	Excessive vomiting in pregnancy	pregnancy complications
643.1	Hyperemesis gravidarum	pregnancy complications
644	Anemia during pregnancy	pregnancy complications
645	Late pregnancy and failed induction	pregnancy complications
646	Other complications of pregnancy NEC	pregnancy complications
647	Infectious and parasitic complications affecting pregnancy	pregnancy complications
647.1	Infections of genitourinary tract during pregnancy	pregnancy complications
647.3	Major puerperal infection	pregnancy complications
649	"Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"	pregnancy complications
649.1	Diabetes or abnormal glucose tolerance complicating pregnancy	pregnancy complications
650	Normal delivery	pregnancy complications
651	Multiple gestation	pregnancy complications
652	Malposition and malpresentation of fetus or obstruction	pregnancy complications
653	Problems associated with amniotic cavity and membranes	pregnancy complications
654	Other and unspecified complications of birth; puerperium affecting management of mother	pregnancy complications
654.1	"Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium"	pregnancy complications
654.2	Rhesus isoimmunization in pregnancy	pregnancy complications
655	Known or suspected fetal abnormality affecting management of mother	pregnancy complications
655.1	Abnormality in fetal heart rate or rhythm	pregnancy complications
656	Other perinatal conditions of fetus or newborn	pregnancy complications
656.1	Isoimmunization of fetus or newborn	pregnancy complications
656.2	Respiratory conditions of fetus and newborn	pregnancy complications
656.22	Interstitial emphysema and related conditions of newborn	pregnancy complications
656.26	Transitory tachypnea or apnea of newborn	pregnancy complications
656.3	Endocrine and metabolic disturbances of fetus and newborn	pregnancy complications
656.4	Hemorrhage of fetus or newborn	pregnancy complications
656.5	Hematological disorders of newborn	pregnancy complications
656.6	Perinatal disorders of digestive system	pregnancy complications
656.7	Conditions involving the integument and temperature regulation of fetus and newborn	pregnancy complications
656.8	Perinatal jaundice	pregnancy complications
656.9	Neonatal bradycardia or tachycardia	pregnancy complications
657	Infections specific to the perinatal period	pregnancy complications
658	Maternal complication of pregnancy affecting fetus or newborn	pregnancy complications
661	Fetal distress and abnormal forces of labor	pregnancy complications
663	Umbilical cord complications during labor and delivery	pregnancy complications
665	Obstetrical/birth trauma	pregnancy complications
668	Complications of the administration of anesthetic or other sedation in labor and delivery	pregnancy complications
669	Complications of labor and delivery NEC	pregnancy complications
671	Venous/cerebrovascular complications embolism in pregnancy and the puerperium	pregnancy complications
674	Other complications of the puerperium NEC	pregnancy complications
676	Other disorders of the breast associated with childbirth and disorders of lactation	pregnancy complications
679	Complications of in utero procedures	pregnancy complications
681	Superficial cellulitis and abscess	dermatologic
681.1	Cellulitis and abscess of fingers/toes	dermatologic
681.2	Cellulitis and abscess of face/neck	dermatologic
681.3	Cellulitis and abscess of arm/hand	dermatologic
681.5	"Cellulitis and abscess of leg, except foot"	dermatologic
681.6	"Cellulitis and abscess of foot, toe"	dermatologic
681.7	Cellulitis and abscess of trunk	dermatologic
686	Other local infections of skin and subcutaneous tissue	dermatologic
686.1	Carbuncle and furuncle	dermatologic
686.2	Impetigo	dermatologic
686.3	Pilonidal cyst	dermatologic
686.4	Pyogenic granuloma	dermatologic
686.5	Pyoderma	dermatologic
687	Symptoms affecting skin	dermatologic
687.1	Rash and other nonspecific skin eruption	dermatologic
687.2	"Localized superficial swelling, mass, or lump"	dermatologic
687.3	Changes in skin texture	dermatologic
687.4	Disturbance of skin sensation	dermatologic
689	Disorder of skin and subcutaneous tissue NOS	dermatologic
690	Erythematosquamous dermatosis	dermatologic
690.1	Seborrheic dermatitis	dermatologic
691	Congenital anomalies of skin	dermatologic
691.1	Ichthyosis congenita	dermatologic
691.3	Congenital pigmentary anomalies of skin	dermatologic
694	Dyschromia and Vitiligo	dermatologic
694.1	Vitiligo	dermatologic
694.2	Other dyschromia	dermatologic
694.3	Vascular disorders of skin	dermatologic
695	Erythematous conditions	dermatologic
695.1	Toxic erythema	dermatologic
695.2	Bullous dermatoses	dermatologic
695.21	Dermatitis herpetiformis	dermatologic
695.22	Pemphigus and pemphigoid	dermatologic
695.3	Rosacea	dermatologic
695.4	Lupus (localized and systemic)	dermatologic
695.41	Cutaneous lupus erythematosus	dermatologic
695.42	Systemic lupus erythematosus	dermatologic
695.7	Prurigo and Lichen	dermatologic
695.8	Other specified erythematous conditions	dermatologic
695.81	Erythema nodosum	dermatologic
695.9	Unspecified erythematous condition	dermatologic
696	Psoriasis and related disorders	dermatologic
696.2	Parapsoriasis	dermatologic
696.3	Pityriasis	dermatologic
696.4	Psoriasis	dermatologic
696.41	Psoriasis vulgaris	dermatologic
696.42	Psoriatic arthropathy	dermatologic
697	Sarcoidosis	dermatologic
698	Pruritus and related conditions	dermatologic
700	Corns and callosities	dermatologic
701	Other hypertrophic and atrophic conditions of skin	dermatologic
701.1	"Keratoderma, acquired"	dermatologic
701.2	Scar conditions and fibrosis of skin	dermatologic
701.3	Circumscribed scleroderma	dermatologic
701.4	Keloid scar	dermatologic
701.5	Abnormal granulation tissue	dermatologic
701.6	Acquired acanthosis nigricans	dermatologic
702	Degenerative skin conditions and other dermatoses	dermatologic
702.1	Actinic keratosis	dermatologic
702.2	Seborrheic keratosis	dermatologic
702.4	Degenerative skin disorders	dermatologic
703	"Diseases of nail, NOS"	dermatologic
703.1	Ingrowing nail	dermatologic
704	Diseases of hair and hair follicles	dermatologic
704.1	Alopecia	dermatologic
704.11	Alopecia Areata	dermatologic
704.12	Telogen effluvium	dermatologic
704.2	Hirsutism	dermatologic
704.8	Other specified diseases of hair and hair follicles	dermatologic
705	Disorders of sweat glands	dermatologic
705.1	Dyshidrosis	dermatologic
705.3	Hidradenitis	dermatologic
705.8	Hyperhidrosis	dermatologic
706	Diseases of sebaceous glands	dermatologic
706.1	Acne	dermatologic
706.2	Sebaceous cyst	dermatologic
706.3	Seborrhea	dermatologic
706.8	Other specified diseases of sebaceous glands	dermatologic
707	Chronic ulcer of skin	dermatologic
707.1	Decubitus ulcer	dermatologic
707.2	Chronic ulcer of leg or foot	dermatologic
707.3	Chronic ulcer of unspecified site	dermatologic
709	Diffuse diseases of connective tissue	dermatologic
709.2	Sicca syndrome	dermatologic
709.3	Systemic sclerosis	dermatologic
709.4	Polymyositis	dermatologic
709.5	Dermatomyositis	dermatologic
709.6	Other specified diffuse diseases of connective tissue	dermatologic
709.7	Unspecified diffuse connective tissue disease	dermatologic
710	"Osteomyelitis, periostitis, and other infections involving bone"	musculoskeletal
710.1	Osteomyelitis	musculoskeletal
710.11	Acute osteomyelitis	musculoskeletal
710.12	Chronic osteomyelitis	musculoskeletal
710.19	Unspecified osteomyelitis	musculoskeletal
710.2	Periostitis	musculoskeletal
710.3	Osteopathy resulting from poliomyelitis	musculoskeletal
711	Arthropathy associated with infections	musculoskeletal
711.1	Pyogenic arthritis	musculoskeletal
711.2	Reiter's disease	musculoskeletal
711.3	Behcet's syndrome	musculoskeletal
712	Infective connective tissue disorders	musculoskeletal
713	Arthropathy associated with other disorders classified elsewhere	musculoskeletal
713.5	Arthropathy associated with neurological disorders	musculoskeletal
714	Rheumatoid arthritis and other inflammatory polyarthropathies	musculoskeletal
714.1	Rheumatoid arthritis	musculoskeletal
714.2	Juvenile rheumatoid arthritis	musculoskeletal
715	Other inflammatory spondylopathies	musculoskeletal
715.1	Sacroiliitis NEC	musculoskeletal
715.2	Ankylosing spondylitis	musculoskeletal
715.3	Spinal enthesopathy	musculoskeletal
716	Other arthropathies	musculoskeletal
716.1	Unspecified polyarthropathy or polyarthritis	musculoskeletal
716.2	Unspecified monoarthritis	musculoskeletal
716.3	Kaschin-Beck disease	musculoskeletal
716.8	Palindromic rheumatism	musculoskeletal
716.9	Arthropathy NOS	musculoskeletal
717	Polymyalgia Rheumatica	musculoskeletal
720	Spinal stenosis	musculoskeletal
720.1	Spinal stenosis of lumbar region	musculoskeletal
721	Spondylosis and allied disorders	musculoskeletal
721.1	Spondylosis without myelopathy	musculoskeletal
721.2	Spondylosis with myelopathy	musculoskeletal
721.8	Other allied disorders of spine	musculoskeletal
722	Intervertebral disc disorders	musculoskeletal
722.1	Displacement of intervertebral disc	musculoskeletal
722.3	Schmorl's nodes	musculoskeletal
722.6	Degeneration of intervertebral disc	musculoskeletal
722.7	Intervertebral disc disorder with myelopathy	musculoskeletal
722.8	Postlaminectomy syndrome	musculoskeletal
722.9	Other and unspecified disc disorder	musculoskeletal
723	Other disorders of cervical region	musculoskeletal
723.1	Torticollis	musculoskeletal
724	Other and unspecified disorders of back	musculoskeletal
724.1	Disorders of sacrum	musculoskeletal
724.2	Disorders of coccyx	musculoskeletal
724.8	Other symptoms referable to back	musculoskeletal
724.9	Other unspecified back disorders	musculoskeletal
726	Peripheral enthesopathies and allied syndromes	musculoskeletal
726.1	Enthesopathy	musculoskeletal
726.2	Synoviopathy	musculoskeletal
726.3	Bursitis	musculoskeletal
726.4	Calcaneal spur; Exostosis NOS	musculoskeletal
727	"Other disorders of synovium, tendon, and bursa"	musculoskeletal
727.1	Synovitis and tenosynovitis	musculoskeletal
727.2	Bursitis disorders	musculoskeletal
727.4	"Ganglion and cyst of synovium, tendon, and bursa"	musculoskeletal
727.5	Rupture of synovium	musculoskeletal
727.6	"Rupture of tendon, nontraumatic"	musculoskeletal
727.7	Contracture of tendon (sheath)	musculoskeletal
727.8	Plica syndrome	musculoskeletal
728	"Disorders of muscle, ligament, and fascia"	musculoskeletal
728.1	Muscular calcification and ossification	musculoskeletal
728.2	Laxity of ligament or hypermobility syndrome	musculoskeletal
728.7	Fasciitis	musculoskeletal
728.71	Contracture of palmar fascia [Dupuytren's disease]	musculoskeletal
729	Other disorders of soft tissues	musculoskeletal
729.1	"Rheumatism, unspecified and fibrositis"	musculoskeletal
729.3	Panniculitis	musculoskeletal
729.7	Nontraumatic compartment syndrome	musculoskeletal
731	Osteitis deformans and osteopathies associated with other disorders classified elsewhere	musculoskeletal
731.1	Osteitis deformans [Paget's disease of bone]	musculoskeletal
732	Osteochondropathies	musculoskeletal
732.1	Juvenile osteochondrosis	musculoskeletal
732.7	Osteochondritis dissecans	musculoskeletal
733	Other disorders of bone and cartilage	musculoskeletal
733.2	Cyst of bone	musculoskeletal
733.4	Aseptic necrosis of bone	musculoskeletal
733.6	Costochondritis	musculoskeletal
733.8	Malunion and nonunion of fracture	musculoskeletal
733.9	Chondromalacia	musculoskeletal
735	Acquired foot deformities	musculoskeletal
735.1	Flat foot	musculoskeletal
735.2	Acquired toe deformities	musculoskeletal
735.21	Hammer toe (acquired)	musculoskeletal
735.22	Claw toe (acquired)	musculoskeletal
735.23	Hallux rigidus	musculoskeletal
735.3	Hallux valgus (Bunion)	musculoskeletal
736	Other acquired deformities of limbs	musculoskeletal
736.1	Acquired deformities of forearm	musculoskeletal
736.2	Acquired deformities of finger	musculoskeletal
736.3	Acquired deformities of hip	musculoskeletal
736.4	Genu valgum or varum (acquired)	musculoskeletal
736.5	Acquired deformities of knee	musculoskeletal
736.6	Unequal leg length (acquired)	musculoskeletal
737	Curvature of spine	musculoskeletal
737.1	Kyphosis (acquired)	musculoskeletal
737.2	Lordosis (acquired)	musculoskeletal
737.3	Kyphoscoliosis and scoliosis	musculoskeletal
738	Other acquired musculoskeletal deformity	musculoskeletal
738.4	Acquired spondylolisthesis	musculoskeletal
739	Contracture of joint	musculoskeletal
740	Osteoarthrosis	musculoskeletal
740.1	Osteoarthritis; localized	musculoskeletal
740.11	"Osteoarthrosis, localized, primary"	musculoskeletal
740.12	"Osteoarthrosis, localized, secondary"	musculoskeletal
740.2	"Osteoarthrosis, generalized"	musculoskeletal
740.3	"Osteoarthrosis involving more than one site, but not specified as generalized"	musculoskeletal
740.9	Osteoarthrosis NOS	musculoskeletal
741	Symptoms and disorders of the joints	musculoskeletal
741.1	Ankylosis of joint	musculoskeletal
741.2	Stiffness of joint	musculoskeletal
741.3	Difficulty in walking	musculoskeletal
741.4	Joint effusions	musculoskeletal
741.5	Hemarthrosis	musculoskeletal
741.6	Villonodular synovitis	musculoskeletal
742	"Derangement of joint, non-traumatic"	musculoskeletal
742.1	Loose body in joint	musculoskeletal
742.2	"Pathological, developmental or recurrent dislocation"	musculoskeletal
742.8	Articular cartilage disorder	musculoskeletal
742.9	Other derangement of joint	musculoskeletal
743	"Osteoporosis, osteopenia and pathological fracture"	musculoskeletal
743.1	Osteoporosis	musculoskeletal
743.11	Osteoporosis NOS	musculoskeletal
743.12	Senile osteoporosis	musculoskeletal
743.13	Other specified osteoporosis	musculoskeletal
743.2	Pathologic fracture	musculoskeletal
743.21	Pathologic fracture of vertebrae	musculoskeletal
743.22	Pathologic fracture of femur	musculoskeletal
743.4	Stress fracture	musculoskeletal
743.9	Osteopenia or other disorder of bone and cartilage	musculoskeletal
745	Pain in joint	musculoskeletal
747	Cardiac and circulatory congenital anomalies	congenital anomalies
747.1	Cardiac congenital anomalies	congenital anomalies
747.11	Cardiac shunt/ heart septal defect	congenital anomalies
747.12	Valvular heart disease/ heart chambers	congenital anomalies
747.13	Congenital anomalies of great vessels	congenital anomalies
747.2	Congenital anomalies of peripheral vascular system	congenital anomalies
748	"Anomalies of respiratory system, congenital"	congenital anomalies
749	Congenital anomalies of face and neck	congenital anomalies
749.1	Cleft palate	congenital anomalies
749.2	Congenital anomalies of skull and face bones	congenital anomalies
750	Digestive congenital anomalies	congenital anomalies
750.1	Upper gastrointestinal congenital anomalies	congenital anomalies
750.11	Esophageal atresia/tracheoesophageal fistula	congenital anomalies
750.13	Congenital anomalies of mouth/tongue	congenital anomalies
750.14	Congenital anomalies of esophagus	congenital anomalies
750.15	Congenital anomalies of stomach	congenital anomalies
750.2	Lower gastrointestinal congenital anomalies	congenital anomalies
750.21	Congenital anomalies of intestine	congenital anomalies
750.22	"Congenital anomaly of gallbladder, bile ducts, liver, pancreas"	congenital anomalies
750.5	Congenital hypertrophic pyloric stenosis	congenital anomalies
751	Genitourinary congenital anomalies	congenital anomalies
751.1	Congenital anomalies of genital organs	congenital anomalies
751.11	Congenital anomalies of female genital organs	congenital anomalies
751.12	Congenital anomalies of male genital organs	congenital anomalies
751.2	Congenital anomalies of urinary system	congenital anomalies
751.21	Cystic kidney disease	congenital anomalies
751.22	Other specified congenital anomalies of kidney	congenital anomalies
751.3	Obstructive genitourinary defect	congenital anomalies
752	Nervous system congenital anomalies	congenital anomalies
752.1	Neural tube defects	congenital anomalies
752.11	Spina bifida	congenital anomalies
752.2	Other specified congenital anomalies of nervous system	congenital anomalies
753	Congenital anomalies of the eye	congenital anomalies
753.1	Congenital cataract and lens anomalies	congenital anomalies
753.2	Congenital anomalies of posterior segment of eye	congenital anomalies
754	Congenital musculoskeletal deformities of spine	congenital anomalies
754.1	"Lumbosacral spondylolysis, congenital"	congenital anomalies
754.2	"Spondylolisthesis, congenital"	congenital anomalies
755	Congenital anomalies of limbs	congenital anomalies
755.1	Congenital deformities of feet	congenital anomalies
755.3	Congenital anomaly of fingers/toes	congenital anomalies
755.4	"Congenital anomalies of upper limb, including shoulder girdle"	congenital anomalies
755.6	"Other congenital anomalies of lower limb, including pelvic girdle"	congenital anomalies
755.61	Congenital hip dysplasia and deformity	congenital anomalies
756	Other congenital musculoskeletal anomalies	congenital anomalies
756.1	Congenital anomalies of abdominal wall; diaphram	congenital anomalies
756.2	Pectus and other congenital anomalies of ribs/sternum	congenital anomalies
756.21	Pectus excavatum	congenital anomalies
756.22	Pectus carinatum	congenital anomalies
756.3	"Congenital anomalies of muscle, tendon, fascia, and connective tissue"	congenital anomalies
756.5	Congenital osteodystrophies	congenital anomalies
757	Congenital anomalies of the integument	congenital anomalies
758	Chromosomal anomalies and genetic disorders	congenital anomalies
758.1	Chromosomal anomalies	congenital anomalies
759	Other and unspecified congenital anomalies	congenital anomalies
759.1	"Anomalies of endocrine glands, congenital"	congenital anomalies
760	Back pain	symptoms
761	Cervicalgia	symptoms
763	"Thoracic or lumbosacral neuritis or radiculitis, unspecified"	symptoms
764	Sciatica	symptoms
765	Cervical radiculitis	symptoms
766	"Neuralgia, neuritis, and radiculitis NOS"	symptoms
767	Cervicocranial/Cervicobrachial syndrome	symptoms
769	Nonallopathic lesions NEC	symptoms
770	Myalgia and myositis unspecified	symptoms
771	Musculoskeletal symptoms referable to limbs	symptoms
771.1	Swelling of limb	symptoms
771.2	Cramp of limb	symptoms
772	Symptoms of the muscles	symptoms
772.1	Muscular wasting and disuse atrophy	symptoms
772.2	Spasm of muscle	symptoms
772.3	Muscle weakness	symptoms
772.4	Rhabdomyolysis	symptoms
772.6	Facial weakness	symptoms
773	Pain in limb	symptoms
780	Hypothermia/Chills	symptoms
781	Symptoms involving nervous and musculoskeletal systems	symptoms
781.1	Loss of height	symptoms
781.2	Abnormal posture	symptoms
782	Symptoms involving skin and other integumentary tissue	symptoms
782.3	Edema	symptoms
782.6	Pallor and flushing	symptoms
783	Fever of unknown origin	symptoms
783.1	Postprocedural fever	symptoms
785	Abdominal pain	symptoms
788	Syncope and collapse	symptoms
789	Nausea and vomiting	symptoms
789.1	Persistent vomiting	symptoms
790	Nonspecific findings on examination of blood	symptoms
790.1	Elevated sedimentation rate	symptoms
790.6	Other abnormal blood chemistry	symptoms
790.8	Elevated C-reactive protein (CRP)	symptoms
790.9	Abnormal arterial blood gases	symptoms
791	Gangrene	symptoms
792	Abnormal Papanicolaou smear of cervix and cervical HPV	genitourinary
792.1	Papanicolaou smear of cervix or vagina with atypical squamous cells	genitourinary
793	Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	symptoms
793.2	"Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)"	symptoms
794	"Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)"	symptoms
795	"Other and nonspecific abnormal cytological, histological and immunological findings"	symptoms
795.8	Abnormal tumor markers	symptoms
795.81	Elevated carcinoembryonic antigen [CEA]	symptoms
795.82	Elevated cancer antigen 125 [CA 125]	symptoms
796	Elevated prostate specific antigen [PSA]	genitourinary
797	Shock	symptoms
797.1	Cardiogenic shock	symptoms
798	Malaise and fatigue	symptoms
798.1	Chronic fatigue syndrome	symptoms
799	Debility unspecified	symptoms
800	Fracture of lower limb	injuries & poisonings
800.1	Fracture of neck of femur	injuries & poisonings
800.2	Fracture of unspecified part of femur	injuries & poisonings
800.3	Fracture of tibia and fibula	injuries & poisonings
800.4	Fracture of patella	injuries & poisonings
801	Fracture of ankle and foot	injuries & poisonings
801.1	Fracture of foot	injuries & poisonings
802	Fracture of pelvis	injuries & poisonings
803	Fracture of upper limb	injuries & poisonings
803.1	Fracture of humerus	injuries & poisonings
803.2	Fracture of radius and ulna	injuries & poisonings
803.21	Colles' fracture	injuries & poisonings
803.3	Fracture of clavicle or scapula	injuries & poisonings
804	Fracture of hand or wrist	injuries & poisonings
805	Fracture of vertebral column without mention of spinal cord injury	injuries & poisonings
807	Fracture of ribs	injuries & poisonings
809	Fracture of unspecified bones	injuries & poisonings
816	Cerebral laceration and contusion	injuries & poisonings
817	Concussion	injuries & poisonings
818	Intracranial hemorrhage (injury)	injuries & poisonings
818.1	Subdural hemorrhage (injury)	injuries & poisonings
818.2	Subarachnoid hemorrhage (injury)	injuries & poisonings
819	Skull and face fracture and other intercranial injury	injuries & poisonings
823	Torus fracture	injuries & poisonings
830	Dislocation	injuries & poisonings
835	Internal derangement of knee	injuries & poisonings
836	Traumatic arthropathy	injuries & poisonings
840	Sprains and strains	injuries & poisonings
840.1	Muscle/tendon sprain	injuries & poisonings
840.2	Rotator cuff (capsule) sprain	injuries & poisonings
840.3	Joint/ligament sprain	injuries & poisonings
841	Sprains and strains of back and neck	injuries & poisonings
842	Other sprains and strains	injuries & poisonings
850	Hemorrhage or hematoma complicating a procedure	injuries & poisonings
851	Complications of transplants and reattached limbs	injuries & poisonings
853	Complication of colostomy or enterostomy	injuries & poisonings
854	"Complications of cardiac/vascular device, implant, and graft"	injuries & poisonings
855	"Complication of nervous system device, implant, and graft"	injuries & poisonings
856	Vascular complications of surgery and medical procedures	injuries & poisonings
857	"Mechanical complication of unspecified genitourinary device, implant, and graft"	injuries & poisonings
858	Complication of internal orthopedic device	injuries & poisonings
859	Complication due to other implant and internal device	injuries & poisonings
860	Bone marrow or stem cell transplant	neoplasms
870	Open wounds of head; neck; and trunk	injuries & poisonings
870.1	Open wound or laceration of eye or eyelid	injuries & poisonings
870.2	Open wound of ear	injuries & poisonings
870.3	Other open wound of head and face	injuries & poisonings
870.4	Open wound of nose and sinus	injuries & poisonings
870.5	Open wound of lip and mouth	injuries & poisonings
870.6	Open wound of neck	injuries & poisonings
870.8	Open wound of genital organs	injuries & poisonings
871	Open wounds of extremities	injuries & poisonings
871.1	Open wound of hand except finger(s)	injuries & poisonings
871.2	Open wound of finger(s)	injuries & poisonings
871.3	Open wound of foot except toe(s) alone	injuries & poisonings
871.4	Open wound of toe(s)	injuries & poisonings
872	Traumatic amputation	injuries & poisonings
873	Broken tooth	injuries & poisonings
874	Complication of amputation stump	injuries & poisonings
875	Non-healing surgical wound	injuries & poisonings
876	Posttraumatic wound infection not elsewhere classified	injuries & poisonings
905	Late effects of musculoskeletal and connective tissue injuries	injuries & poisonings
906	Late effects of injuries to skin and subcutaneous tissues	injuries & poisonings
907	Injuries to the nervous system	injuries & poisonings
908	Late effects of other injuries	injuries & poisonings
909	Late effects of external causes	injuries & poisonings
910	"Superficial injury, infected"	injuries & poisonings
911	Blister	injuries & poisonings
912	Insect bite	injuries & poisonings
913	Toxic effect of venom	injuries & poisonings
915	Superficial injury without mention of infection	injuries & poisonings
916	Contusion	injuries & poisonings
930	Allergic reaction to food	injuries & poisonings
931	Contact dermatitis and other eczema due to plants [except food]	dermatologic
938	Dermatitis due to solar radiation	dermatologic
938.1	Acute dermatitis due to solar radiation	dermatologic
938.2	Chronic dermatitis due to solar radiation	dermatologic
939	Atopic/contact dermatitis due to other or unspecified	dermatologic
939.1	Contact and allergic dermatitis of eyelid	dermatologic
941	Adverse reaction to serum or vaccine	injuries & poisonings
942	Infusion and transfusion reaction	injuries & poisonings
946	Anaphylactic shock NOS	injuries & poisonings
947	Urticaria	dermatologic
949	"Allergies, other"	injuries & poisonings
949.1	Diaper or napkin rash	injuries & poisonings
952	Spinal cord injury without evidence of spinal bone injury	injuries & poisonings
957	Injury to other and unspecified nerves	injuries & poisonings
958	Certain early complications of trauma or procedure	injuries & poisonings
958.1	Postoperative shock	injuries & poisonings
958.2	Traumatic and surgical subcutaneous emphysema	injuries & poisonings
960	Poisoning by antibiotics	injuries & poisonings
960.1	Adverse effects of antibacterials (not penicillins)	injuries & poisonings
960.2	Allergy/adverse effect of penicillin	injuries & poisonings
960.3	Poisoning by antifungal antibiotics	injuries & poisonings
961	Poisoning by other anti-infectives	injuries & poisonings
961.1	Poisoning/allergy of sulfonamides	injuries & poisonings
